keySpace.keys,keySpace.rt,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,instructions.ran,participant,date,expName,psychopyVersion,OS,frameRate,fbclid,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,widthBasketLeft,heightBasketLeft,widthBasketRight,heightBasketRight,leftLake,rightLake,space2.keys,space2.rt,space1.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,space1.rt,finalSpace1.keys,finalSpace1.rt,finalSpace2.keys,finalSpace2.rt
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,-0.165740719,-0.312037061,1,0,0,3.929045,scale,,,,,,0.275930788,0.223606798,0.275930788,0.223606798,stimuli/lakes/507093_left.png,stimuli/lakes/507093_right.png,,,,0,16,16,93,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.005555582,-0.210185206,1,0,0,4.07968,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/603028_left.png,stimuli/lakes/603028_right.png,,,,0,17,17,28,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,-0.001851825,-0.206481503,1,0,0,2.797205,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/604046_left.png,stimuli/lakes/604046_right.png,,,,0,18,18,46,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.111111141,-0.256481504,1,0,0,3.83055,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/603037_left.png,stimuli/lakes/603037_right.png,,,,0,19,19,37,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,-0.174999979,-0.325000025,1,0,0,8.4426,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/4090123_left.png,stimuli/lakes/4090123_right.png,,,,0,20,20,123,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,-0.187962942,-0.367592618,1,0,0,6.927235,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/903040_left.png,stimuli/lakes/903040_right.png,,,,0,21,21,40,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,-0.005555529,-0.212963041,1,0,0,3.26352,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/704056_left.png,stimuli/lakes/704056_right.png,,,space,0,22,22,56,1,4.116025,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,-0.100925846,-0.24814817,1,0,0,4.27927,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/804057_left.png,stimuli/lakes/804057_right.png,,,,0,23,23,57,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,-0.192592572,-0.37870373,1,0,0,1.781295,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/906088_left.png,stimuli/lakes/906088_right.png,,,,0,24,24,88,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.00370373,-0.216666688,1,0,0,2.79743,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/307091_left.png,stimuli/lakes/307091_right.png,,,,0,25,25,91,1,,,,,
